Upload Type,Publication Type,Image Type,Publication Date,Title,Creators,Description,Access Right,License,Embargo Date,Access Conditions,DOI,Prereserve DOI,Keywords,Notes,Related Identifiers,Contributors,References,Communities,Grants,Journal Title
,,,2011-12-31,"Figure 2. Selected 1H-1H in Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","Figure 2. Selected 1H-1H COSY (dashed arrows) and 1H-13C HMBC (full arrows) correlations observed for compounds 1, 2, and 3.",open,[object Object],,,10.5281/zenodo.4017377,,"Biodiversity,Taxonomy","Published as part of <i>Humam, Munir, Kehrli, Thomas, Jeannerat, Damien, Muñoz, Orlando, Hostettmann, Kurt &amp; Christen, Philippe, 2011, Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor, pp. 50-53 in Journal of Natural Products 74 (1)</i> on page 51, DOI: 10.1021/np1005423, <a href=""http://zenodo.org/record/4017373"">http://zenodo.org/record/4017373</a>","[object Object],[object Object],[object Object]",,,[object Object],,
,,,2011-12-31,"Figure 2. Selected 1H-1H in Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","Figure 2. Selected 1H-1H COSY (dashed arrows) and 1H-13C HMBC (full arrows) correlations observed for compounds 1, 2, and 3.",open,[object Object],,,10.5281/zenodo.4017377,,"Biodiversity,Taxonomy","Published as part of <i>Humam, Munir, Kehrli, Thomas, Jeannerat, Damien, Muñoz, Orlando, Hostettmann, Kurt &amp; Christen, Philippe, 2011, Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor, pp. 50-53 in Journal of Natural Products 74 (1)</i> on page 51, DOI: 10.1021/np1005423, <a href=""http://zenodo.org/record/4017373"">http://zenodo.org/record/4017373</a>","[object Object],[object Object],[object Object]",,,[object Object],,
,,,2011-12-31,"Figure 1 in Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","Figure 1. Structures of tropane alkaloids present in the genus Schizanthus: (a) angeloyl, (b) senecioyl, (c) tigloyl, (d) methylitaconyl, (e) methylmesaconyl, and (f) methylcitraconyl moieties (R1/ R2).",open,[object Object],,,10.5281/zenodo.4017375,,"Biodiversity,Taxonomy","Published as part of <i>Humam, Munir, Kehrli, Thomas, Jeannerat, Damien, Muñoz, Orlando, Hostettmann, Kurt &amp; Christen, Philippe, 2011, Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor, pp. 50-53 in Journal of Natural Products 74 (1)</i> on page 50, DOI: 10.1021/np1005423, <a href=""http://zenodo.org/record/4017373"">http://zenodo.org/record/4017373</a>","[object Object],[object Object],[object Object]",,,[object Object],,
,,,2011-12-31,"Figure 1 in Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","Figure 1. Structures of tropane alkaloids present in the genus Schizanthus: (a) angeloyl, (b) senecioyl, (c) tigloyl, (d) methylitaconyl, (e) methylmesaconyl, and (f) methylcitraconyl moieties (R1/ R2).",open,[object Object],,,10.5281/zenodo.4017375,,"Biodiversity,Taxonomy","Published as part of <i>Humam, Munir, Kehrli, Thomas, Jeannerat, Damien, Muñoz, Orlando, Hostettmann, Kurt &amp; Christen, Philippe, 2011, Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor, pp. 50-53 in Journal of Natural Products 74 (1)</i> on page 50, DOI: 10.1021/np1005423, <a href=""http://zenodo.org/record/4017373"">http://zenodo.org/record/4017373</a>","[object Object],[object Object],[object Object]",,,[object Object],,
,,,2023-07-21,cheminfo/multiplet-analysis: v2.1.2,"[object Object],[object Object],[object Object],[object Object],[object Object]","<a href=""https://github.com/cheminfo/multiplet-analysis/compare/v2.1.1...v2.1.2"">2.1.2</a> (2023-07-20)
Bug Fixes
<ul>
<li>ensure cosine similarity for checkSymmetryFirst option(<a href=""https://github.com/cheminfo/multiplet-analysis/issues/45"">#45</a>) (<a href=""https://github.com/cheminfo/multiplet-analysis/commit/3cde35c12bc6b3dc2ca24018c9795dfa395be757"">3cde35c</a>)</li>
</ul>",open,[object Object],,,10.5281/zenodo.8171982,,,,[object Object],,,,,
,,,2023-07-21,cheminfo/multiplet-analysis: v2.1.2,"[object Object],[object Object],[object Object],[object Object],[object Object]","<a href=""https://github.com/cheminfo/multiplet-analysis/compare/v2.1.1...v2.1.2"">2.1.2</a> (2023-07-20)
Bug Fixes
<ul>
<li>ensure cosine similarity for checkSymmetryFirst option(<a href=""https://github.com/cheminfo/multiplet-analysis/issues/45"">#45</a>) (<a href=""https://github.com/cheminfo/multiplet-analysis/commit/3cde35c12bc6b3dc2ca24018c9795dfa395be757"">3cde35c</a>)</li>
</ul>",open,[object Object],,,10.5281/zenodo.8171982,,,,[object Object],,,,,
,,,2011-12-31,"Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","Humam, Munir, Kehrli, Thomas, Jeannerat, Damien, Muñoz, Orlando, Hostettmann, Kurt, Christen, Philippe (2011): Schizanthines N, O, and P, Tropane Alkaloids from the Aerial Parts ofSchizanthus tricolor. Journal of Natural Products 74 (1): 50-53, DOI: 10.1021/np1005423, URL: http://dx.doi.org/10.1021/np1005423",restricted,,,,10.1021/np1005423,,"Biodiversity,Taxonomy",,"[object Object],[object Object]",,"(1) Perez, F. Evolution de la integracion floral en el genero Schizanthus (Solanaceae) en asociation a los sistemas de polinizacion. Ph.D. Thesis, Universidad de Chile, Santiago, 2004; p 10.,(2) Cretton, S.; Glauser, G.; Humam, M.; Jeannerat, D.; Munoz, O.; Maes, L.; Christen, P.; Hostettmann, K. J. Nat. Prod. 2010, 73, 844-847.,(3) Griffin, W. J.; Lin, G. D. Phytochemistry 2000, 53, 623-637.,(4) Lounasmaa, M.; Tamminen, T. In The Tropane Alkaloids; Cordell, G. A., Ed.; Academic Press: San Diego, 1993; Vol. 44, Chapter 1, pp1-114.,(5) Munoz, O.; Schneider, C.; Breitmaier, E. Liebigs Ann. Chem. 1994, 521-522.,(6) Pena, R. C.; Munoz, O. Biochem. Syst. Ecol. 2002, 30, 45-53.,(7) Bieri, S.; Munoz, O.; Veuthey, J.-L.; Christen, P. J. Sep. Sci. 2006, 29, 96-102.,(8) Bieri, S.; Varesio, E.; Munoz, O.; Veuthey, J.-L.; Christen, P. J. Pharm. Biomed. Anal. 2006, 40, 545-551.,(9) Bieri, S.; Varesio, E.; Veuthey, J.-L.; Munoz, O.; Tseng, L.-H.; Braumann, U.; Spraul, M.; Christen, P. Phytochem. Anal. 2006, 17, 78-86.,(10) Humam, M.; Munoz, O.; Christen, P.; Hostettmann, K. Nat. Prod. Commun. 2007, 2, 743-747.,(11) Bourguignon, J.-J.; Schoenfelder, A.; Schmitt, M.; Wermuth, C.-G.; Hechler, V.; Charlier, B.; Maitre, M. J. Med. Chem. 1988, 31, 893- 897.,(12) Khan, A. T.; Blessing, B.; Schmidt, R. R. Synthesis 1994, 255-257.,(13) Yagudaev, M. R.; Aripova, S. F. Chem. Nat. Compd. 1986, 22, 74- 78.,(14) Humam, M.; Christen, P.; Munoz, O.; Hostettmann, K.; Jeannerat, D. Chirality 2008, 20, 20-25.,(15) Agar, J. T. H.; Evans, W. C. J. Chem. Soc., Perkin Trans. 1 1976, 1550-1553.,(16) El-Iman, Y. M. S.; Evans, W. C.; Grout, R. J.; Ramsey, K. P. A. Phytochemistry 1987, 26, 2386-2389.,(17) Al-Said, M. S.; Evans, W. C.; Grout, R. J. J. Chem. Soc., Perkin Trans. 1 1986, 957-959.,(18) Al-Said, M. S.; Evans, W. C.; Grout, R. J. Phytochemistry 1989, 28, 671-673.,(19) Bringmann, G.; Gunther, C.; Muhlbacher, J.; Lalith, M. D.; Gunathilake, P.; Wickramasinghe, A. Phytochemistry 2000, 53, 409-416.,(20) Robins, R. J.; Bachmann, P.; Robinson, T.; Rhodes, M. J. C.; Yamada, Y. FEBS Lett. 1991, 292, 293-297.",[object Object],,
,,,2023-11-28,cheminfo/nmredata: v0.9.9,"[object Object],[object Object],[object Object],[object Object],[object Object]","<h2><a href=""https://github.com/cheminfo/nmredata/compare/v0.9.8...v0.9.9"">0.9.9</a> (2023-11-28)</h2>
<h3>Bug Fixes</h3>
<ul>
<li>default processor pass as one line data (<a href=""https://github.com/cheminfo/nmredata/commit/519f4120c734ceae41bdac6149c010321aebed0e"">519f412</a>)</li>
</ul>",open,[object Object],,,10.5281/zenodo.10212326,,,,[object Object],,,,,
,,,2023-11-28,cheminfo/nmredata: v0.9.9,"[object Object],[object Object],[object Object],[object Object],[object Object]","<h2><a href=""https://github.com/cheminfo/nmredata/compare/v0.9.8...v0.9.9"">0.9.9</a> (2023-11-28)</h2>
<h3>Bug Fixes</h3>
<ul>
<li>default processor pass as one line data (<a href=""https://github.com/cheminfo/nmredata/commit/519f4120c734ceae41bdac6149c010321aebed0e"">519f412</a>)</li>
</ul>",open,[object Object],,,10.5281/zenodo.10212326,,,,[object Object],,,,,
,,,2019-12-10,Embryo survival in the oviduct not significantly influenced by major histocompatibility complex social signaling in the horse,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","<p>The major histocompatibility complex (MHC) influences sexual selection in various vertebrates. Recently, MHC-linked social signaling was also shown to influence female fertility in horses (<i>Equus caballus</i>) diagnosed 17 days after fertilization. However, it remained unclear at which stage the pregnancy was terminated. Here we test if MHC-linked cryptic female choice in horses happens during the first days of pregnancy, i.e., until shortly after embryonic entrance into the uterus and before fixation in the endometrium. We exposed estrous mares to one of several unrelated stallions, instrumentally inseminated them with semen of another stallion, and flushed the uterus 8 days later to test for the presence of embryos. In total 68 embryos could be collected from 97 experimental trials. This success rate of 70.1% was significantly different from the mean pregnancy rate of 45.7% observed 17 days after fertilization using the same experimental protocol but without embryo flushing. Embryo recovery rate was not significantly dependent on whether the mares had been socially exposed to an MHC-dissimilar or an MHC-similar stallion. These observations suggest that MHC-linked maternal strategies affect embryo survival mainly (or only) during the time of fixation in the uterus.</p>",open,[object Object],,,10.5061/dryad.s4mw6m936,,"horses,Equus caballus,Major Histocompatibility Complex (MHC),MHC similarity,social signaling,Embryo,Oviduct","<p>See description in Jeannerat et al.</p>
<p>Funding provided by: ISMEquine Research<br>Crossref Funder Registry ID: <br>Award Number: </p><p>Funding provided by: Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung<br>Crossref Funder Registry ID: http://dx.doi.org/10.13039/501100001711<br>Award Number: 31003A_182265</p>",,,,[object Object],,
,,,2019-12-10,Embryo survival in the oviduct not significantly influenced by major histocompatibility complex social signaling in the horse,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","<p>The major histocompatibility complex (MHC) influences sexual selection in various vertebrates. Recently, MHC-linked social signaling was also shown to influence female fertility in horses (<i>Equus caballus</i>) diagnosed 17 days after fertilization. However, it remained unclear at which stage the pregnancy was terminated. Here we test if MHC-linked cryptic female choice in horses happens during the first days of pregnancy, i.e., until shortly after embryonic entrance into the uterus and before fixation in the endometrium. We exposed estrous mares to one of several unrelated stallions, instrumentally inseminated them with semen of another stallion, and flushed the uterus 8 days later to test for the presence of embryos. In total 68 embryos could be collected from 97 experimental trials. This success rate of 70.1% was significantly different from the mean pregnancy rate of 45.7% observed 17 days after fertilization using the same experimental protocol but without embryo flushing. Embryo recovery rate was not significantly dependent on whether the mares had been socially exposed to an MHC-dissimilar or an MHC-similar stallion. These observations suggest that MHC-linked maternal strategies affect embryo survival mainly (or only) during the time of fixation in the uterus.</p>",open,[object Object],,,10.5061/dryad.s4mw6m936,,"horses,Equus caballus,Major Histocompatibility Complex (MHC),MHC similarity,social signaling,Embryo,Oviduct","<p>See description in Jeannerat et al.</p>
<p>Funding provided by: ISMEquine Research<br>Crossref Funder Registry ID: <br>Award Number: </p><p>Funding provided by: Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung<br>Crossref Funder Registry ID: http://dx.doi.org/10.13039/501100001711<br>Award Number: 31003A_182265</p>",,,,[object Object],,
,,,2017-12-22,Data from: Stallion semen quality depends on MHC matching to teaser mare,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","The major histocompatibility complex (MHC) has repeatedly been found to influence mate choice of vertebrates, with MHC-dissimilar mates typically being preferred over MHC-similar mates. We used horses (Equus caballus) to test whether MHC matching also affects male investment into ejaculates after short exposure to a female. Semen characteristics varied much among stallions. Controlling for this variance with a full-factorial within-subject experimental design, we found that a short exposure to an MHC-dissimilar mare enhanced male plasma testosterone and led to ejaculates with elevated sperm numbers as compared to exposure to an MHC-similar mare. Sperm velocity seemed not affected by the treatment. Overall genetic similarity between stallions and mares (determined from polymorphic microsatellites on 20 different chromosomes) played no significant role here. The MHC type of the teaser mare also affected characteristics of cold-stored sperm after 24 and 48h. As expected from ejaculate economics, sperm viability was elevated after exposure to an MHC-dissimilar mare. However, oxidative stress and the percentage of sperm with a high DNA fragmentation was mostly increased after exposure to an MHC-dissimilar mare, depending also on whether the teaser mare was in estrous or not. We conclude that males can quickly adjust ejaculate quality relative to a female's MHC, and that this male reaction to the social environment can also affect important characteristics of cold-stored semen.",open,[object Object],,,10.5061/dryad.402c8,,"Equus caballus,Life History Evolution,Major Histocompatibility Complex (MHC),Inbreeding,Animal Mating/Breeding Systems,Holocene","<div class=""o-metadata__file-usage-entry"">Testosterone_ejaculates<div class=""o-metadata__file-description"">Pair combination, age of ejaculate at time of measurement (""incubation""), experimental week, estrus stage of teaser mare, Wang's coefficient of relatedness r, semen volume, total sperm number, stallion's blood testosterone before and after exposure to teaser mare (and ejaculation), further semen characteristics (as described in paper)</div><div class=""o-metadata__file-name""></div></div><div class=""o-metadata__file-usage-entry"">microsats<div class=""o-metadata__file-description"">Genotypes of all mares and stallions on 20 microsatellite loci</div><div class=""o-metadata__file-name""></div></div>",[object Object],,,[object Object],,
,,,2017-12-22,Data from: Stallion semen quality depends on MHC matching to teaser mare,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","The major histocompatibility complex (MHC) has repeatedly been found to influence mate choice of vertebrates, with MHC-dissimilar mates typically being preferred over MHC-similar mates. We used horses (Equus caballus) to test whether MHC matching also affects male investment into ejaculates after short exposure to a female. Semen characteristics varied much among stallions. Controlling for this variance with a full-factorial within-subject experimental design, we found that a short exposure to an MHC-dissimilar mare enhanced male plasma testosterone and led to ejaculates with elevated sperm numbers as compared to exposure to an MHC-similar mare. Sperm velocity seemed not affected by the treatment. Overall genetic similarity between stallions and mares (determined from polymorphic microsatellites on 20 different chromosomes) played no significant role here. The MHC type of the teaser mare also affected characteristics of cold-stored sperm after 24 and 48h. As expected from ejaculate economics, sperm viability was elevated after exposure to an MHC-dissimilar mare. However, oxidative stress and the percentage of sperm with a high DNA fragmentation was mostly increased after exposure to an MHC-dissimilar mare, depending also on whether the teaser mare was in estrous or not. We conclude that males can quickly adjust ejaculate quality relative to a female's MHC, and that this male reaction to the social environment can also affect important characteristics of cold-stored semen.",open,[object Object],,,10.5061/dryad.402c8,,"Equus caballus,Life History Evolution,Major Histocompatibility Complex (MHC),Inbreeding,Animal Mating/Breeding Systems,Holocene","<div class=""o-metadata__file-usage-entry"">Testosterone_ejaculates<div class=""o-metadata__file-description"">Pair combination, age of ejaculate at time of measurement (""incubation""), experimental week, estrus stage of teaser mare, Wang's coefficient of relatedness r, semen volume, total sperm number, stallion's blood testosterone before and after exposure to teaser mare (and ejaculation), further semen characteristics (as described in paper)</div><div class=""o-metadata__file-name""></div></div><div class=""o-metadata__file-usage-entry"">microsats<div class=""o-metadata__file-description"">Genotypes of all mares and stallions on 20 microsatellite loci</div><div class=""o-metadata__file-name""></div></div>",[object Object],,,[object Object],,
,,,2023-04-06,"IUPAC FAIRSpec-ready aggregations: Recommendations for researchers, authors, and publishers","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","<p>This is a presentation of IUPAC <a href=""https://iupac.org/project/2019-031-1-024/"">FAIRSpec project</a>. It was presented at the workshop titled &ldquo;Advancing FAIR Chemistry: Developing New Services for Sharing Chemical Data&rdquo;. The event took place during the ACS spring meeting in Indianapolis, US, on March 27, 2023.</p>

<p>*WorldFAIR &ldquo;Global cooperation on FAIR data policy and practice&rdquo; is funded by the EC HORIZON-WIDERA-2021-ERA-01-41 Coordination and Support Action under Grant Agreement No. 101058393.</p>",open,[object Object],,,10.5281/zenodo.7807015,,"Workshop, FAIR, Cheminformatics, Chemical Data",,,,,,[object Object],
,,,2023-04-06,"IUPAC FAIRSpec-ready aggregations: Recommendations for researchers, authors, and publishers","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","<p>This is a presentation of IUPAC <a href=""https://iupac.org/project/2019-031-1-024/"">FAIRSpec project</a>. It was presented at the workshop titled &ldquo;Advancing FAIR Chemistry: Developing New Services for Sharing Chemical Data&rdquo;. The event took place during the ACS spring meeting in Indianapolis, US, on March 27, 2023.</p>

<p>*WorldFAIR &ldquo;Global cooperation on FAIR data policy and practice&rdquo; is funded by the EC HORIZON-WIDERA-2021-ERA-01-41 Coordination and Support Action under Grant Agreement No. 101058393.</p>",open,[object Object],,,10.5281/zenodo.7807015,,"Workshop, FAIR, Cheminformatics, Chemical Data",,,,,,[object Object],
,,,2024-02-09,NMRium: ReactJS component to display and process NMR spectra,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",Software that allows to visualize and process 1D and 2D NMR spectra. Visit https://www.nmrium.org or https://docs.nmrium.org to get more information.,open,[object Object],,,10.5281/zenodo.10640196,,"JCAMP-DX,Nuclear magnetic resonance,NMR Processing,E-learning",,[object Object],,,,,
,,,2024-02-09,NMRium: ReactJS component to display and process NMR spectra,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",Software that allows to visualize and process 1D and 2D NMR spectra. Visit https://www.nmrium.org or https://docs.nmrium.org to get more information.,open,[object Object],,,10.5281/zenodo.10640196,,"JCAMP-DX,Nuclear magnetic resonance,NMR Processing,E-learning",,[object Object],,,,,
